,location,total_poverty_estimate
523,"Manhattan, KS ",88773.0
524,"Manitowoc, WI",78405.0
525,"Mankato-North Mankato, MN ",94354.0
526,"Mansfield, OH ",113502.0
527,"Marietta, OH",58912.0
528,"Marinette, WI-MI",62350.0
529,"Marion, IN",61611.0
530,"Marion, NC",44037.0
531,"Marion, OH",59521.0
532,"Marquette, MI",62637.0
533,"Marshall, MN",24594.0
534,"Marshall, MO",21772.0
535,"Marshall, TX",65126.0
536,"Marshalltown, IA",39018.0
537,"Martin, TN",30998.0
538,"Martinsville, VA",63462.0
539,"Maryville, MO",19462.0
540,"Mason City, IA",49269.0
541,"Mayag�ez, PR ",92398.0
542,"Mayfield, KY",36623.0
543,"Maysville, KY",16750.0
544,"McAlester, OK",42205.0
545,"McAllen-Edinburg-Mission, TX ",839124.0
546,"McComb, MS",50886.0
547,"McMinnville, TN",39775.0
548,"McPherson, KS",27281.0
549,"Meadville, PA",82371.0
550,"Medford, OR ",212018.0
551,"Memphis, TN-MS-AR ",1319999.0
552,"Menomonie, WI",40777.0
553,"Merced, CA ",262972.0
554,"Meridian, MS",98976.0
555,"Merrill, WI",27087.0
556,"Mexico, MO",23484.0
557,"Miami, OK",30477.0
558,"Miami-Fort Lauderdale-West Palm Beach, FL ",5994946.0
559,"Michigan City-La Porte, IN ",102082.0
560,"Middlesborough, KY",26313.0
561,"Midland, MI ",82002.0
562,"Midland, TX ",167853.0
563,"Milledgeville, GA",47291.0
564,"Milwaukee-Waukesha-West Allis, WI ",1546000.0
565,"Mineral Wells, TX",27930.0
566,"Minneapolis-St. Paul-Bloomington, MN-WI ",3498431.0
567,"Minot, ND",75267.0
568,"Missoula, MT ",112980.0
569,"Mitchell, SD",22383.0
570,"Moberly, MO",22696.0
571,"Mobile, AL ",405635.0
572,"Modesto, CA ",534234.0
573,"Monroe, LA ",170347.0
574,"Monroe, MI ",148215.0
575,"Montgomery, AL ",361314.0
576,"Montrose, CO",40853.0
577,"Morehead City, NC",67559.0
578,"Morgan City, LA",50833.0
579,"Morgantown, WV ",130068.0
580,"Morristown, TN ",113158.0
581,"Moscow, ID",36010.0
582,"Moses Lake, WA",93954.0
583,"Moultrie, GA",44824.0
584,"Mountain Home, AR",40634.0
585,"Mountain Home, ID",25508.0
586,"Mount Airy, NC",71076.0
587,"Mount Pleasant, MI",64213.0
588,"Mount Pleasant, TX",32251.0
589,"Mount Sterling, KY",45758.0
590,"Mount Vernon, IL",35525.0
591,"Mount Vernon, OH",57764.0
592,"Mount Vernon-Anacortes, WA ",122344.0
593,"Muncie, IN ",108558.0
594,"Murray, KY",35029.0
595,"Muscatine, IA",42130.0
596,"Muskegon, MI ",165967.0
597,"Muskogee, OK",65034.0
598,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC ",441673.0
599,"Nacogdoches, TX",60050.0
600,"Napa, CA ",137164.0
601,"Naples-Immokalee-Marco Island, FL ",360390.0
602,"Nashville-Davidson--Murfreesboro--Franklin, TN ",1827288.0
603,"Natchez, MS-LA",46927.0
604,"Natchitoches, LA",38252.0
605,"New Bern, NC ",119418.0
606,"Newberry, SC",36920.0
607,"New Castle, IN",44944.0
608,"New Castle, PA",85189.0
609,"New Haven-Milford, CT ",832858.0
610,"New Orleans-Metairie, LA ",1241244.0
611,"New Philadelphia-Dover, OH",91069.0
612,"Newport, OR",47196.0
613,"Newport, TN",34957.0
614,"Newton, IA",35100.0
615,"New Ulm, MN",24071.0
616,"New York-Newark-Jersey City, NY-NJ-PA ",19636774.0
617,"Niles-Benton Harbor, MI ",150936.0
618,"Nogales, AZ",46214.0
619,"Norfolk, NE",47027.0
620,"North Platte, NE",35803.0
621,"North Port-Sarasota-Bradenton, FL ",776165.0
622,"North Vernon, IN",27386.0
623,"North Wilkesboro, NC",67389.0
624,"Norwalk, OH",57733.0
625,"Norwich-New London, CT ",256892.0
626,"Oak Harbor, WA",79324.0
627,"Ocala, FL ",338000.0
628,"Ocean City, NJ ",91511.0
629,"Odessa, TX ",156445.0
630,"Ogden-Clearfield, UT ",647021.0
631,"Ogdensburg-Massena, NY",97507.0
632,"Oil City, PA",51214.0
633,"Okeechobee, FL",37407.0
634,"Oklahoma City, OK ",1335665.0
635,"Olean, NY",75149.0
636,"Olympia-Tumwater, WA ",270989.0
637,"Omaha-Council Bluffs, NE-IA ",904226.0
638,"Oneonta, NY",55111.0
639,"Ontario, OR-ID",49301.0
640,"Opelousas, LA",81932.0
641,"Orangeburg, SC",85572.0
642,"Orlando-Kissimmee-Sanford, FL ",2406414.0
643,"Oshkosh-Neenah, WI ",161777.0
644,"Oskaloosa, IA",21563.0
645,"Othello, WA",19182.0
646,"Ottawa, KS",24858.0
647,"Ottawa-Peru, IL",145559.0
648,"Ottumwa, IA",43271.0
649,"Owatonna, MN",36162.0
650,"Owensboro, KY ",114910.0
651,"Owosso, MI",67529.0
652,"Oxford, MS",48368.0
653,"Oxford, NC",56091.0
654,"Oxnard-Thousand Oaks-Ventura, CA ",836489.0
655,"Ozark, AL",47854.0
656,"Paducah, KY-IL",94804.0
657,"Pahrump, NV",43113.0
658,"Palatka, FL",71161.0
659,"Palestine, TX",44336.0
660,"Palm Bay-Melbourne-Titusville, FL ",570141.0
661,"Pampa, TX",20969.0
662,"Panama City, FL ",193570.0
663,"Paragould, AR",43781.0
664,"Paris, TN",31747.0
665,"Paris, TX",48789.0
666,"Parkersburg-Vienna, WV ",90276.0
667,"Parsons, KS",19898.0
668,"Payson, AZ",52501.0
669,"Pecos, TX",12821.0
670,"Pella, IA",31582.0
671,"Pensacola-Ferry Pass-Brent, FL ",456979.0
672,"Peoria, IL ",364491.0
673,"Peru, IN",33521.0
674,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",5920419.0
675,"Phoenix-Mesa-Scottsdale, AZ ",4590678.0
676,"Picayune, MS",53522.0
677,"Pierre, SD",20685.0
678,"Pine Bluff, AR ",81219.0
679,"Pinehurst-Southern Pines, NC",94456.0
680,"Pittsburg, KS",37115.0
681,"Pittsburgh, PA ",2282044.0
682,"Pittsfield, MA ",120939.0
683,"Plainview, TX",31716.0
684,"Platteville, WI",48101.0
685,"Plattsburgh, NY",73035.0
686,"Plymouth, IN",45817.0
687,"Pocatello, ID ",82867.0
688,"Point Pleasant, WV-OH",55493.0
689,"Ponca City, OK",44008.0
690,"Ponce, PR ",303128.0
691,"Pontiac, IL",33902.0
692,"Poplar Bluff, MO",41761.0
693,"Portales, NM",17948.0
694,"Port Angeles, WA",73231.0
695,"Port Clinton, OH",40123.0
696,"Portland-South Portland, ME ",517709.0
697,"Portland-Vancouver-Hillsboro, OR-WA ",2384286.0
698,"Port Lavaca, TX",21501.0
699,"Port St. Lucie, FL ",457219.0
700,"Portsmouth, OH",72649.0
701,"Pottsville, PA",136204.0
702,"Prescott, AZ ",220076.0
703,"Price, UT",19967.0
704,"Prineville, OR",22176.0
705,"Providence-Warwick, RI-MA ",1559612.0
706,"Provo-Orem, UT ",586737.0
707,"Pueblo, CO ",160305.0
708,"Pullman, WA",41670.0
709,"Punta Gorda, FL ",173303.0
710,"Quincy, IL-MO",74120.0
711,"Racine, WI ",190057.0
712,"Raleigh, NC ",1276698.0
713,"Rapid City, SD ",141370.0
714,"Raymondville, TX",20179.0
715,"Reading, PA ",403561.0
716,"Red Bluff, CA",62534.0
717,"Redding, CA ",176198.0
718,"Red Wing, MN",45340.0
719,"Reno, NV ",449044.0
720,"Rexburg, ID",50492.0
721,"Richmond, IN",63818.0
722,"Richmond, VA ",1245709.0
723,"Richmond-Berea, KY",99691.0
724,"Rio Grande City, TX",63234.0
725,"Riverside-San Bernardino-Ontario, CA ",4422832.0
726,"Riverton, WY",39075.0
727,"Roanoke, VA ",304352.0
728,"Roanoke Rapids, NC",69601.0
729,"Rochelle, IL",50482.0
730,"Rochester, MN ",213073.0
731,"Rochester, NY ",1035583.0
732,"Rockford, IL ",334071.0
733,"Rockingham, NC",43638.0
734,"Rock Springs, WY",43529.0
735,"Rocky Mount, NC ",144543.0
736,"Rolla, MO",41658.0
737,"Rome, GA ",92699.0
738,"Roseburg, OR",106915.0
739,"Roswell, NM",63555.0
740,"Ruidoso, NM",19294.0
741,"Russellville, AR",81383.0
742,"Ruston, LA",44169.0
